품목,세부,마트,"무게 (g, ml)",수량 (EA),단가 (원),가격 (원),"단가 (100 g, ml당 가격)",날짜
적상추,적상추 100g (봉),킴스클럽,100,1,"5,990","5,990",5990,20241102
삼겹살,킴스클럽 1등급 삼겹살 (냉장),킴스클럽,,1,"17,750","17,750",#DIV/0!,20241102
우삼겹,호주산냉동우삼겹 3.3k,트레이더스,3300,1,"47,980","47,980",1453.939394,20241109
쌈총사,오아시스 무농약 쌈총사 120g,킴스클럽,120,1,"3,200","3,200",2666.666667,20241110
숙주,나물투데이 생나물류,킴스클럽,,1,"1,990","1,990",#DIV/0!,20241110
숙주,소가 아삭숙주 350g,킴스클럽,350,1,"1,393","1,393",398,20241122
돈까스소스,백설 돈까스 소스 255g,킴스클럽,255,1,"2,790","2,790",1094.117647,20241123
다진마늘,다진마늘 (나물투데이),킴스클럽,,1,"6,838","6,838",#DIV/0!,20241126
쌈총사,오아시스 무농약 쌈총사 120g,킴스클럽,120,1,"3,200","3,200",2666.666667,20241126
오겹살,산소포장_제주돼지 한판오겹살 500g,킴스클럽,500,1,"12,792","12,792",2558.4,20241126
레몬,레몬 팩,킴스클럽,,1,"1,990","1,990",#DIV/0!,20241214
쌈총사,오아시스 친환경 쌈총사 120g,킴스클럽,120,1,"2,990","2,990",2491.666667,20241214
방울토마토,토망고 대추방울토마토 500g,킴스클럽,500,1,"5,990","5,990",1198,20241220
컵떡볶이,비비고 컵떡볶이 110g,킴스클럽,108,1,"2,495","2,495",2310.185185,20241220
사과,대용량 못난이 사과,킴스클럽,,1,"9,990","9,990",#DIV/0!,20241220
모짜렐라,덴마크 후레쉬 모짜렐라 미니 125g,킴스클럽,125,1,"5,590","5,590",4472,20241220
새우탕,농심 새우탕 큰사발 컵,킴스클럽,,1,"1,290","1,290",#DIV/0!,20241227
튀김우동,농심 튀김우동 큰사발 컵,킴스클럽,,1,"1,290","1,290",#DIV/0!,20241227
짜파게티,농심 짜파게티 큰사발 컵,킴스클럽,,1,"1,290","1,290",#DIV/0!,20241227
김치 왕뚜껑,팔도 김치 왕뚜껑 컵,킴스클럽,,1,"1,290","1,290",#DIV/0!,20241227
왕두껑,팔도 왕뚜껑 컵,킴스클럽,,1,"1,290","1,290",#DIV/0!,20241227
숙주,행복한콩 아삭통통 숙주 500g,킴스클럽,500,1,"2,990","2,990",598,20250107
알배추,실속 알배기(통),킴스클럽,,1,"2,590","2,590",#DIV/0!,20250107
쌈총사,오아시스 친환경 쌈총사 120g,킴스클럽,120,1,"2,990","2,990",2491.666667,20250108
삼겹살,오아시스 삼겹살 구이용,킴스클럽,,1,"12,900","12,900",#DIV/0!,20250108
비빔면,팔도 비빔면 4입 + 2,킴스클럽,,4,997.5,"3,990",#DIV/0!,20250111
사과,오아시스 GAP 희여골 못난이사과 1.5,킴스클럽,1500,1,"8,990","8,990",599.3333333,20250111
치즈,인포켓치즈 200g,킴스클럽,200,1,"6,990","6,990",3495,20250111
김치,종가 포기김치 3kg,킴스클럽,3000,1,"22,990","22,990",766.3333333,20250111
오레오오즈,포스트 오레오오즈 500g,킴스클럽,500,1,"9,990","9,990",1998,20250118
사과,못난이 왕사과 봉(4입),킴스클럽,,1,"6,988","6,988",#DIV/0!,20250118
깐마늘,깐마늘 200g (봉),킴스클럽,200,1,"2,990","2,990",1495,20250118
방울토마토,토망고 대추방울토마토 500g,킴스클럽,500,1,"4,995","4,995",999,20250118
방울토마토,컬러 대추방울토마토 500g,킴스클럽,500,1,"4,995","4,995",999,20250118
계란,신선특란 30입,킴스클럽,,1,"6,393","6,393",#DIV/0!,20250118
시금치,남해 시금치 (단),킴스클럽,,1,"2,992","2,992",#DIV/0!,20250125
양상추,양상추 (봉),킴스클럽,,1,"1,990","1,990",#DIV/0!,20250125
파프리카,신선 파프리카,킴스클럽,,1,"2,940","2,940",#DIV/0!,20250125
팽이버섯,팽이버섯 봉 (국산),킴스클럽,,1,600,600,#DIV/0!,20250125
아스파라거스,아스파라거스 150g (팩),킴스클럽,150,1,"3,913","3,913",2608.666667,20250125
방울토마토,대추방울토마토 토마토 750g팩,킴스클럽,750,1,"7,990","7,990",1065.333333,20250125
흑임자 드레싱,오프라이스 흑임자 드레싱 250g,킴스클럽,250,1,"2,990","2,990",1196,20250125
포도주스,미닛메이드 포도 1.5L,킴스클럽,1500,1,"1,790","1,790",119.3333333,20250125
딸기,새벽에 딴 달콤딸기 500g 국산,킴스클럽,500,3,"12,990","38,970",2598,20250128
핫도그,고메 오리지널 핫도그 400g,킴스클럽,400,1,"5,990","5,990",1497.5,20250130
방울토마토,칼라대추방울토마토,하나로마트,500,1,"4,990","4,990",998,20250131
양상추,양상추 1통 국산,하나로마트,,1,"1,490","1,490",#DIV/0!,20250131
세제,퍼실라벤더,킴스클럽,2700,1,"11,990","11,990",444.0740741,20250214
아이스크림,롯데 아이스크림 10개 묶음,킴스클럽,,10,559,"5,590",#DIV/0!,20250214
통크,오리온 통크 딸기,킴스클럽,45,2,990,"1,980",2200,20250214
짜파게티,농심 올리브 짜파게티 5입,킴스클럽,,2,696.8,"1,393.60",#DIV/0!,20250214
방울토마토,대추방울토마토 550g,킴스클럽,550,1,"4,990","4,990",907.2727273,20250214
계란,무항생제 신선특란 30입,킴스클럽,,1,"5,990","5,990",#DIV/0!,20250214
화장지,오프라이스 3겹 천연펄프 화장지 27M,킴스클럽,,2,"9,495","18,990",#DIV/0!,20250215
